IMF_code,iso3c,country
512,AFG,Afghanistan
914,ALB,Albania
612,DZA,Algeria
614,AGO,Angola
311,ATG,Antigua and Barbuda
312,AIA,Anguilla
213,ARG,Argentina
911,ARM,Armenia
193,AUS,Australia
122,AUT,Austria
912,AZE,Azerbaijan
313,BHS,The Bahamas
419,BHR,Bahrain
513,BGD,Bangladesh
316,BRB,Barbados
913,BLR,Belarus
124,BEL,Belgium
339,BLZ,Belize
638,BEN,Benin
514,BTN,Bhutan
218,BOL,Bolivia
963,BIH,Bosnia and Herzegovina
616,BWA,Botswana
223,BRA,Brazil
516,BRN,Brunei Darussalam
918,BGR,Bulgaria
748,BFA,Burkina Faso
618,BDI,Burundi
624,CPV,Cabo Verde
522,KHM,Cambodia
622,CMR,Cameroon
156,CAN,Canada
626,CAF,Central African Republic
628,TCD,Chad
228,CHL,Chile
924,CHN,China
233,COL,Colombia
632,COM,Comoros
636,COD,Democratic Republic of the Congo
634,COG,Republic of Congo
238,CRI,Costa Rica
662,CIV,Côte d'Ivoire
960,HRV,Croatia
423,CYP,Cyprus
935,CZE,Czech Republic
128,DNK,Denmark
611,DJI,Djibouti
321,DMA,Dominica
243,DOM,Dominican Republic
248,ECU,Ecuador
469,EGY,Egypt
253,SLV,El Salvador
642,GNQ,Equatorial Guinea
643,ERI,Eritrea
939,EST,Estonia
644,ETH,Ethiopia
819,FJI,Fiji
172,FIN,Finland
132,FRA,France
646,GAB,Gabon
648,GMB,The Gambia
915,GEO,Georgia
134,DEU,Germany
652,GHA,Ghana
174,GRC,Greece
328,GRD,Grenada
258,GTM,Guatemala
656,GIN,Guinea
654,GNB,Guinea-Bissau
336,GUY,Guyana
263,HTI,Haiti
268,HND,Honduras
532,HKG,Hong Kong SAR
944,HUN,Hungary
176,ISL,Iceland
534,IND,India
536,IDN,Indonesia
429,IRN,Iran
433,IRQ,Iraq
178,IRL,Ireland
436,ISR,Israel
136,ITA,Italy
343,JAM,Jamaica
158,JPN,Japan
439,JOR,Jordan
916,KAZ,Kazakhstan
664,KEN,Kenya
826,KIR,Kiribati
542,KOR,Korea
967,KOS,Kosovo
443,KWT,Kuwait
917,KGZ,Kyrgyz Republic
544,LAO,Lao P.D.R.
941,LVA,Latvia
446,LBN,Lebanon
666,LSO,Lesotho
668,LBR,Liberia
672,LBY,Libya
946,LTU,Lithuania
137,LUX,Luxembourg
962,MKD,FYR Macedonia
674,MDG,Madagascar
676,MWI,Malawi
548,MYS,Malaysia
556,MDV,Maldives
678,MLI,Mali
181,MLT,Malta
867,MHL,Marshall Islands
682,MRT,Mauritania
684,MUS,Mauritius
273,MEX,Mexico
868,FSM,Micronesia
921,MDA,Moldova
948,MNG,Mongolia
943,MNE,Montenegro
686,MAR,Morocco
688,MOZ,Mozambique
518,MMR,Myanmar
728,NAM,Namibia
558,NPL,Nepal
138,NLD,Netherlands
196,NZL,New Zealand
278,NIC,Nicaragua
692,NER,Niger
694,NGA,Nigeria
142,NOR,Norway
449,OMN,Oman
564,PAK,Pakistan
565,PLW,Palau
283,PAN,Panama
853,PNG,Papua New Guinea
288,PRY,Paraguay
293,PER,Peru
566,PHL,Philippines
964,POL,Poland
182,PRT,Portugal
453,QAT,Qatar
968,ROU,Romania
922,RUS,Russia
714,RWA,Rwanda
862,WSM,Samoa
135,SMR,San Marino
716,STP,São Tomé and Príncipe
456,SAU,Saudi Arabia
722,SEN,Senegal
942,SRB,Serbia
718,SYC,Seychelles
724,SLE,Sierra Leone
576,SGP,Singapore
936,SVK,Slovak Republic
961,SVN,Slovenia
813,SLB,Solomon Islands
726,SOM,Somalia
199,ZAF,South Africa
733,SSD,South Sudan
184,ESP,Spain
524,LKA,Sri Lanka
361,KNA,St. Kitts and Nevis
362,LCA,St. Lucia
364,VCT,St. Vincent and the Grenadines
732,SDN,Sudan
366,SUR,Suriname
734,SWZ,Swaziland
144,SWE,Sweden
146,CHE,Switzerland
463,SYR,Syria
528,TWN,Taiwan Province of China
923,TJK,Tajikistan
738,TZA,Tanzania
578,THA,Thailand
537,TLS,Timor-Leste
742,TGO,Togo
866,TON,Tonga
369,TTO,Trinidad and Tobago
744,TUN,Tunisia
186,TUR,Turkey
925,TKM,Turkmenistan
869,TUV,Tuvalu
746,UGA,Uganda
926,UKR,Ukraine
466,ARE,United Arab Emirates
112,GBR,United Kingdom
111,USA,United States
298,URY,Uruguay
927,UZB,Uzbekistan
846,VUT,Vanuatu
299,VEN,Venezuela
582,VNM,Vietnam
474,YEM,Yemen
754,ZMB,Zambia
698,ZWE,Zimbabwe
546,"China, P.R.: Macao",MAC
351,Montserrat,MSR
487,West Bank and Gaza,PSE
