"country","iso3c","date","SPI.INDEX.PIL1","SPI.INDEX.PIL2","SPI.INDEX.PIL3","SPI.INDEX.PIL4","SPI.INDEX.PIL5","SPI.INDEX","SPI.DIM1.5.INDEX","SPI.DIM2.1.INDEX","SPI.DIM2.2.INDEX","SPI.DIM2.4.INDEX","SPI.DIM3.1.INDEX","SPI.DIM3.2.INDEX","SPI.DIM3.3.INDEX","SPI.DIM3.4.INDEX","SPI.DIM4.1.CEN.INDEX","SPI.DIM4.1.SVY.INDEX","SPI.DIM4.2.INDEX","SPI.DIM4.3.INDEX","SPI.DIM5.1.INDEX","SPI.DIM5.2.INDEX","SPI.DIM5.5.INDEX","SPI.D1.5.POV","SPI.D1.5.CHLD.MORT","SPI.D1.5.DT.TDS.DPPF.XP.ZS","SPI.D1.5.SAFE.MAN.WATER","SPI.D1.5.LFP","SPI.D2.1.GDDS","SPI.D2.2.Machine.readable","SPI.D2.2.Non.proprietary","SPI.D2.2.Download.options","SPI.D2.2.Metadata.available","SPI.D2.2.Terms.of.use","SPI.D2.2.Openness.subscore","SPI.D2.4.NADA","SPI.D3.1.POV","SPI.D3.2.HNGR","SPI.D3.3.HLTH","SPI.D3.4.EDUC","SPI.D3.5.GEND","SPI.D3.6.WTRS","SPI.D3.7.ENRG","SPI.D3.8.WORK","SPI.D3.9.INDY","SPI.D3.10.NEQL","SPI.D3.11.CITY","SPI.D3.12.CNSP","SPI.D3.15.LAND","SPI.D3.16.INST","SPI.D3.17.PTNS","SPI.D3.13.CLMT","SPI.D3.NA","SPI.D4.1.1.POPU","SPI.D4.1.2.AGRI","SPI.D4.1.3.BIZZ","SPI.D4.1.4.HOUS","SPI.D4.1.5.AGSVY","SPI.D4.1.6.LABR","SPI.D4.1.7.HLTH","SPI.D4.1.8.BZSVY","SPI.D4.2.3.CRVS","SPI.D4.3.GEO.first.admin.level","SPI.D5.1.DILG","SPI.D5.2.1.SNAU","SPI.D5.2.2.NABY","SPI.D5.2.3.CNIN","SPI.D5.2.4.CPIBY","SPI.D5.2.5.HOUS","SPI.D5.2.6.EMPL","SPI.D5.2.7.CGOV","SPI.D5.2.8.FINA","SPI.D5.2.9.MONY","SPI.D5.2.10.GSBP","SPI.D5.5.DIFI","income","region","weights","population"
"Romania","ROU","2024","100","94.7","83.35","87.175","90","91.045","1","1","0.841","1","0.77","0.872166666666667","0.875","0.8665","1","0.868","1","0.619","1","0.9","1","1","1","1","1","1","1","0.95","1","0.95","0.829","0.476","0.841","1","1","0.5","0.68","0.833","0.75","0.857","0.833","0.875","0.9","0.875","0.75","1","0.75","1","0.733","1","0","1","1","1","1","0.67","1","0.67","1","1","0.619","1","1","1","1","1","0","1","1","1","1","1","1","High income","Europe & Central Asia","1","19069340"
"Japan","JPN","2024","100","91.8333333333333","84.75625","83.375","95","90.9929166666667","1","1","0.755","1","0.822833333333333","0.8305","0.9585","0.862","1","0.934","1","0.401","1","0.95","1","1","1","1","1","1","1","0.867","0.95","0.514","0.517","0.929","0.755","1","1","0.8","0.84","0.833","0.75","0.714","0.833","0.875","0.9","0.625","0.75","1","0.917","0.857","0.867","1","0","1","1","1","1","1","1","0.67","1","1","0.401","1","1","1","1","0.5","1","1","1","1","1","1","1","High income","East Asia & Pacific","1","123975371"
"Costa Rica","CRI","2024","100","88.9666666666667","89.78125","81.175","95","90.9845833333333","1","1","0.669","1","0.898333333333333","0.9375","0.7085","0.9665","1","0.866","1","0.381","1","0.95","1","1","1","1","1","1","1","1","0.686","0.586","0.624","0.448","0.669","1","1","0.8","0.84","1","0.75","1","1","1","1","0.875","0.75","1","0.917","1","0.933","0.5","0","1","1","1","1","1","1","0.33","1","1","0.381","1","1","1","1","0.5","1","1","1","1","1","1","1","High income","Latin America & Caribbean","1","5129910"
"Mexico","MEX","2024","100","93.2333333333333","92.21875","89.3","80","90.9504166666667","1","1","0.797","1","0.963333333333333","0.9375","0.7085","0.9665","1","0.934","1","0.638","1","0.8","1","1","1","1","1","1","1","0.85","0.967","0.75","0.614","0.802","0.797","1","1","0.9","0.88","1","1","1","1","1","1","0.875","0.75","1","0.917","1","0.933","0.5","0","1","1","1","1","1","1","0.67","1","1","0.638","1","1","0.5","1","0","1","1","0.5","1","1","1","1","Upper middle income","Latin America & Caribbean","1","130861007"
"Italy","ITA","2024","100","92.7","88.80625","88.15","85","90.93125","1","1","0.781","1","0.868333333333333","0.893","0.9585","0.862","1","1","1","0.526","1","0.85","1","1","1","1","1","1","1","0.967","0.919","0.776","0.524","0.721","0.781","1","1","0.7","0.76","1","0.75","1","0.833","1","0.9","0.875","0.75","1","0.917","0.857","0.867","1","0","1","1","1","1","1","1","1","1","1","0.526","1","1","1","1","0.5","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","58986023"
"Portugal","PRT","2024","100","97.6333333333333","90.30625","85.6","80","90.7079166666667","1","1","0.929","1","0.867833333333333","0.909666666666667","0.9585","0.9335","1","1","1","0.424","1","0.8","1","1","1","1","1","1","1","1","0.905","0.852","0.936","0.952","0.929","1","1","0.8","0.8","1","0.75","0.857","0.833","1","1","0.875","0.75","1","0.917","1","0.867","1","0","1","1","1","1","1","1","1","1","1","0.424","1","1","1","1","0","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","10701636"
"Finland","FIN","2024","100","98.2","81.55625","87.1","85","90.37125","1","1","0.946","1","0.801166666666667","0.826333333333333","0.7085","0.9335","1","0.934","1","0.55","1","0.85","1","1","1","1","1","1","1","0.983","1","0.917","0.869","0.96","0.946","1","0.8","0.6","0.8","1","0.75","0.857","0.833","1","1","0.625","0.5","1","0.917","1","0.867","0.5","0","1","1","1","1","1","1","0.67","1","1","0.55","1","1","1","1","0.5","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","5637214"
"Israel","ISR","2024","100","94.2","78.14375","84.125","95","90.29375","1","1","0.826","1","0.807833333333333","0.818","0.5835","0.7905","1","1","1","0.365","1","0.95","1","1","1","1","1","1","1","1","0.983","0.571","0.574","1","0.826","1","0.8","0.7","0.8","0.833","1","0.714","0.833","1","0.7","0.875","0.5","1","0.667","0.714","0.867","0.5","0","1","1","1","1","1","1","1","1","1","0.365","1","1","1","1","0.5","1","1","1","1","1","1","1","High income","Middle East, North Africa, Afghanistan & Pakistan","1","9974400"
"United States","USA","2024","100","95","88.36875","86.925","80","90.05875","1","1","0.85","1","0.867833333333333","0.893","0.9585","0.8285","1","1","1","0.477","1","0.8","1","1","1","1","1","1","1","0.917","1","0.783","0.548","1","0.85","1","1","0.8","0.8","1","0.75","0.857","0.833","1","0.9","0.875","0.75","1","0.917","0.857","0.8","1","0","1","1","1","1","1","1","1","1","1","0.477","1","1","1","1","0","1","1","1","1","0","1","1","High income","North America","1","340110988"
"Germany","DEU","2024","100","95.3333333333333","83.84375","86.1","85","90.0554166666667","1","1","0.86","1","0.8345","0.868","0.6665","0.9335","1","1","1","0.444","1","0.85","1","1","1","1","1","1","1","1","1","0.721","0.581","1","0.86","1","0.8","0.8","0.8","1","0.75","0.857","0.833","1","1","0.875","0.5","1","0.833","1","0.867","0.5","0","1","1","1","1","1","1","1","1","1","0.444","1","1","1","1","0.5","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","83510950"
