"country","iso3c","date","SPI.INDEX.PIL1","SPI.INDEX.PIL2","SPI.INDEX.PIL3","SPI.INDEX.PIL4","SPI.INDEX.PIL5","SPI.INDEX","SPI.DIM1.5.INDEX","SPI.DIM2.1.INDEX","SPI.DIM2.2.INDEX","SPI.DIM2.4.INDEX","SPI.DIM3.1.INDEX","SPI.DIM3.2.INDEX","SPI.DIM3.3.INDEX","SPI.DIM3.4.INDEX","SPI.DIM4.1.CEN.INDEX","SPI.DIM4.1.SVY.INDEX","SPI.DIM4.2.INDEX","SPI.DIM4.3.INDEX","SPI.DIM5.1.INDEX","SPI.DIM5.2.INDEX","SPI.DIM5.5.INDEX","SPI.D1.5.POV","SPI.D1.5.CHLD.MORT","SPI.D1.5.DT.TDS.DPPF.XP.ZS","SPI.D1.5.SAFE.MAN.WATER","SPI.D1.5.LFP","SPI.D2.1.GDDS","SPI.D2.2.Machine.readable","SPI.D2.2.Non.proprietary","SPI.D2.2.Download.options","SPI.D2.2.Metadata.available","SPI.D2.2.Terms.of.use","SPI.D2.2.Openness.subscore","SPI.D2.4.NADA","SPI.D3.1.POV","SPI.D3.2.HNGR","SPI.D3.3.HLTH","SPI.D3.4.EDUC","SPI.D3.5.GEND","SPI.D3.6.WTRS","SPI.D3.7.ENRG","SPI.D3.8.WORK","SPI.D3.9.INDY","SPI.D3.10.NEQL","SPI.D3.11.CITY","SPI.D3.12.CNSP","SPI.D3.15.LAND","SPI.D3.16.INST","SPI.D3.17.PTNS","SPI.D3.13.CLMT","SPI.D3.NA","SPI.D4.1.1.POPU","SPI.D4.1.2.AGRI","SPI.D4.1.3.BIZZ","SPI.D4.1.4.HOUS","SPI.D4.1.5.AGSVY","SPI.D4.1.6.LABR","SPI.D4.1.7.HLTH","SPI.D4.1.8.BZSVY","SPI.D4.2.3.CRVS","SPI.D4.3.GEO.first.admin.level","SPI.D5.1.DILG","SPI.D5.2.1.SNAU","SPI.D5.2.2.NABY","SPI.D5.2.3.CNIN","SPI.D5.2.4.CPIBY","SPI.D5.2.5.HOUS","SPI.D5.2.6.EMPL","SPI.D5.2.7.CGOV","SPI.D5.2.8.FINA","SPI.D5.2.9.MONY","SPI.D5.2.10.GSBP","SPI.D5.5.DIFI","income","region","weights","population"
"Hungary","HUN","2021","100","89.0333333333333","88.24375","82.375","90","89.9304166666667","1","1","0.671","1","0.84","0.877833333333333","1","0.906","1","0.934","1","0.361","1","0.9","1","1","1","1","1","1","1","0.95","0.902","0.621","0.86","0.024","0.671","1","1","0.8","0.84","0.6","0.8","1","0.667","1","1","1","0.8","0.8","1","1","0.812","1",,"1","1","1","1","1","1","0.67","1","1","0.361","1","1","1","1","0","1","1","1","1","1","1","1","High income","Europe & Central Asia","1","9630932"
"Greece","GRC","2021","100","88.2","78.61875","82.75","100","89.91375","1","1","0.646","1","0.7715","0.790333333333333","0.6665","0.9375","1","0.934","1","0.376","1","1","1","1","1","1","1","1","1","0.66","0.607","0.319","0.69","0.952","0.646","1","0.714","0.8","0.84","0.6","0.8","0.875","0.667","1","1","0.875","0.4","0.8","1","1","0.875","0.333",,"1","1","1","1","1","1","0.67","1","1","0.376","1","1","1","1","1","1","1","1","1","1","1","1","High income","Europe & Central Asia","1","10569207"
"Netherlands","NLD","2021","80","97.1","87.76875","81.925","100","89.35875","0.8","1","0.913","1","0.845833333333333","0.877833333333333","0.9445","0.906","1","0.866","1","0.411","1","1","1","1","0","1","1","1","1","0.933","0.933","0.833","0.933","0.933","0.913","1","1","0.8","0.8","0.8","0.8","0.875","0.667","1","1","1","0.8","0.8","0.889","1","0.812","1",,"1","1","1","1","0.33","1","1","1","1","0.411","1","1","1","1","1","1","1","1","1","1","1","1","High income","Europe & Central Asia","1","17533044"
"Mexico","MEX","2021","100","93.3333333333333","92.9625","84.3083333333333","75","89.1208333333333","1","1","0.8","1","0.946666666666667","0.983333333333333","0.778","0.869","0.833333333333333","0.934","1","0.605","1","0.75","1","1","1","1","1","1","1","0.933","0.9","0.669","0.638","0.862","0.8","1","1","1","0.88","0.8","1","1","1","1","0.9","1","1","1","0.889","0.8","0.938","0.667",,"1","0.5","1","1","1","1","0.67","1","1","0.605","1","1","0.5","1","0.5","1","1","0.5","0","1","1","1","Upper middle income","Latin America & Caribbean","1","127648148"
"Korea, Rep.","KOR","2021","100","92.8333333333333","82.9625","83.875","85","88.9341666666667","1","1","0.785","1","0.818666666666667","0.8805","0.8335","0.706","1","1","1","0.355","1","0.85","1","1","1","1","1","1","1","0.883","0.9","0.793","0.45","0.9","0.785","1","0.857","0.9","0.88","0.6","0.8","0.875","0.833","0.875","0.9","0.875","0.8","1","1","0.6","0.812","0.667",,"1","1","1","1","1","1","1","1","1","0.355","1","1","1","1","0.5","1","1","0","1","1","1","1","High income","East Asia & Pacific","1","51769539"
"New Zealand","NZL","2021","100","93.6333333333333","82.88125","76.625","90","88.6279166666667","1","1","0.809","1","0.778166666666667","0.8195","1","0.8375","1","0.866","1","0.199","1","0.9","1","1","1","1","1","1","1","0.917","0.95","0.71","0.567","0.9","0.809","1","0.714","0.8","0.88","0.6","0.8","0.875","0.667","1","0.9","0.75","0.8","0.8","1","0.8","0.875","1",,"1","1","1","1","1","1","0.33","1","1","0.199","1","1","1","1","1","1","1","0","1","1","1","1","High income","East Asia & Pacific","1","5111300"
"Belarus","BLR","2021","100","85.3","87.49375","74.525","95","88.46375","1","1","0.559","1","0.88","0.815333333333333","0.9445","0.969","1","0.668","1","0.313","1","0.95","1","1","1","1","1","1","1","0.762","0.943","0.483","0.607","0","0.559","1","1","0.6","0.88","1","0.8","1","0.667","0.75","1","0.875","1","0.6","0.889","1","0.938","1",,"1","1","1","1","0","1","0.67","0.67","1","0.313","1","1","1","1","1","1","1","0.5","1","1","1","1","Upper middle income","Europe & Central Asia","1","9302585"
"Latvia","LVA","2021","100","87.8666666666667","76.05625","75.975","100","87.9795833333333","1","1","0.636","1","0.7715","0.7695","0.5555","0.906","1","0.934","1","0.105","1","1","1","1","1","1","1","1","1","0.821","0.838","0.764","0.755","0","0.636","1","0.714","0.8","0.84","0.6","0.8","0.875","0.667","0.875","1","0.875","0.4","0.8","0.778","1","0.812","0.333",,"1","1","1","1","1","1","0.67","1","1","0.105","1","1","1","1","1","1","1","1","1","1","1","1","High income","Europe & Central Asia","1","1884490"
"Belgium","BEL","2021","100","82.2","81.25625","76.4","100","87.97125","1","1","0.466","1","0.8315","0.811166666666667","0.6665","0.906","1","0.868","1","0.188","1","1","1","1","1","1","1","1","1","0.65","0.583","0.476","0.333","0.286","0.466","1","0.714","0.8","0.8","0.8","1","0.875","0.667","1","1","1","0.4","0.8","1","1","0.812","0.333",,"1","1","1","1","0.67","1","0.67","1","1","0.188","1","1","1","1","1","1","1","1","1","1","1","1","High income","Europe & Central Asia","1","11586195"
"Bulgaria","BGR","2021","100","91.0666666666666","75.68125","80.65","90","87.4795833333333","1","1","0.732","1","0.6445","0.798666666666667","0.85","0.875","1","0.934","1","0.292","1","0.9","1","1","1","1","1","1","1","0.883","0.812","0.738","0.745","0.483","0.732","1","0.857","0.5","0.76","0.4","0.6","0.75","0.667","0.75","0.9","0.875","0.8","0.8","0.7","1","0.75","1",,"1","1","1","1","1","1","0.67","1","1","0.292","1","1","1","1","1","1","1","1","1","1","0","1","High income","Europe & Central Asia","1","6507301"
"United Kingdom","GBR","2021","100","87.3333333333333","85.2","74.275","90","87.3616666666667","1","1","0.62","1","0.8525","0.861166666666667","1","0.675","1","0.866","1","0.105","1","0.9","1","1","1","1","1","1","1","0.786","0.448","0.393","0.686","0.786","0.62","1","1","0.8","0.84","0.6","1","0.875","0.667","1","0.9","1","0.8","0.8","1","0.6","0.75","1",,"1","1","1","1","1","1","0.33","1","1","0.105","1","1","1","1","1","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","66984000"
"Australia","AUS","2021","80","89.7666666666667","82.95625","82.3","100","87.0045833333333","0.8","1","0.693","1","0.805","0.823666666666667","0.9445","0.806","1","1","1","0.292","1","1","1","1","1","1","0","1","1","0.9","0.35","0.481","0.802","0.933","0.693","1","1","0.8","0.88","0.6","0.8","0.75","0.667","1","0.8","0.875","0.8","0.8","0.889","0.8","0.812","1",,"1","1","1","1","1","1","1","1","1","0.292","1","1","1","1","1","1","1","1","1","1","1","1","High income","East Asia & Pacific","1","25685412"
"Estonia","EST","2021","80","91.8333333333333","83.8875","78.625","100","86.8691666666667","0.8","1","0.755","1","0.8025","0.836166666666667","0.889","0.906","1","0.934","1","0.211","1","1","1","1","0","1","1","1","1","0.967","0.967","0.876","0.967","0","0.755","1","1","0.7","0.84","0.6","0.8","0.875","0.667","0.875","1","0.875","0.8","0.8","0.778","1","0.812","1",,"1","1","1","1","1","1","0.67","1","1","0.211","1","1","1","1","1","1","1","1","1","1","1","1","High income","Europe & Central Asia","1","1330932"
"Cyprus","CYP","2021","100","91.3666666666667","70.49375","75.975","95","86.5670833333333","1","1","0.741","1","0.623666666666667","0.7445","0.7225","0.8125","1","0.934","1","0.105","1","0.95","1","1","1","1","1","1","1","0.9","0.771","0.5","0.533","1","0.741","1","0.857","0.5","0.76","0.4","0.6","0.625","0.667","0.75","0.9","0.75","0.6","0.8","0.778","1","0.625","0.667",,"1","1","1","1","1","1","0.67","1","1","0.105","1","1","1","1","0.5","1","1","1","1","1","1","1","High income","Europe & Central Asia","1","1317309"
"Croatia","HRV","2021","100","89.3333333333333","72.30625","75.95","95","86.5179166666667","1","1","0.68","1","0.651166666666667","0.765333333333333","0.7225","0.8125","1","0.934","1","0.104","1","0.95","1","1","1","1","1","1","1","0.717","0.967","0.59","0.643","0.483","0.68","1","0.857","0.5","0.8","0.4","0.6","0.75","0.667","0.75","0.9","0.875","0.6","0.8","0.778","1","0.625","0.667",,"1","1","1","1","1","1","0.67","1","1","0.104","1","1","1","1","1","1","1","1","0.5","1","1","1","High income","Europe & Central Asia","1","3878981"
"Chile","CHL","2021","100","77.6666666666667","87.24375","72.3","95","86.4420833333333","1","1","0.33","1","0.863333333333333","0.95","0.8335","0.706","1","0.6","1","0.292","1","0.95","1","1","1","1","1","1","1","0.279","0.743","0.221","0.405","0","0.33","1","1","0.7","0.88","0.8","0.8","1","1","1","0.9","1","0.8","1","1","0.6","0.812","0.667",,"1","1","1","1","0","1","0","1","1","0.292","1","1","1","1","0.5","1","1","1","1","1","1","1","High income","Latin America & Caribbean","1","19456334"
"Armenia","ARM","2021","100","84.9","86.6375","67.525","90","85.8125","1","1","0.547","1","0.8425","0.900333333333333","0.8335","0.869","1","0.532","1","0.169","1","0.9","1","1","1","1","1","1","1","0.66","0.881","0.548","0.645","0","0.547","1","1","0.7","0.88","1","0.6","0.875","0.944","0.875","0.833","0.75","1","1","1","0.8","0.938","0.667",,"1","1","1","1","0","1","0.33","0.33","1","0.169","1","1","1","1","1","1","1","0.5","0.5","1","1","1","Upper middle income","Europe & Central Asia","1","2962300"
"Albania","ALB","2021","100","68.6333333333333","87.24375","73.025","100","85.7804166666667","1","0.5","0.559","1","0.906166666666667","0.836166666666667","0.7835","0.969","1","0.734","1","0.187","1","1","0","1","1","1","1","1","0.5","0.748","0.888","0.707","0.452","0","0.559","1","0.857","0.9","0.88","1","0.8","1","0.667","0.875","0.8","0.875","1","0.8","0.9","1","0.938","0.667",,"1","1","1","1","0","1","0.67","1","1","0.187","1","1","1","1","1","1","1","1","1","1","1","0","Upper middle income","Europe & Central Asia","1","2811666"
"Luxembourg","LUX","2021","80","93.6333333333333","81.675","72.625","100","85.5866666666667","0.8","1","0.809","1","0.795333333333333","0.802833333333333","0.8335","0.906","1","0.8","1","0.105","1","1","1","1","0","1","1","1","1","0.833","0.9","0.793","0.619","0.9","0.809","1","0.857","0.8","0.84","0.6","0.8","0.875","0.667","1","1","0.75","0.6","0.8","1","1","0.812","0.667",,"1","1","1","1","0.33","1","0.67","1","1","0.105","1","1","1","1","1","1","1","1","1","1","1","1","High income","Europe & Central Asia","1","640064"
"Moldova","MDA","2021","100","95.3333333333333","75.4625","70.875","85","85.3341666666667","1","1","0.86","1","0.794833333333333","0.761166666666667","0.5","0.869","1","0.666","1","0.169","1","0.85","0","1","1","1","1","1","1","0.95","0.967","0.738","0.729","0.919","0.86","1","0.714","0.7","0.88","1","0.6","0.875","0.667","0.75","1","0.75","0.6","0.8","1","0.8","0.938","0",,"1","1","1","1","0","1","0.33","1","1","0.169","1","1","1","1","0.5","1","1","0.5","0.5","1","1","0","Upper middle income","Europe & Central Asia","1","2595809"
"Singapore","SGP","2021","100","99.6666666666667","64.13125","86.5416666666667","75","85.0679166666667","1","1","0.99","1","0.585166666666667","0.7555","0.3335","0.775","0.666666666666667","1","1","0.795","1","0.75","1","1","1","1","1","1","1","1","1","0.983","0.967","1","0.99","1","0.286","0.4","0.8","0.6","0.8","0.625","0.833","0.75","0.8","0.75","0.4","1","0.667","0.8","0.75","0",,"1","0","1","1","1","1","1","1","1","0.795","1","1","0.5","1","0.5","1","1","0.5","1","0","1","1","High income","East Asia & Pacific","1","5453566"
"Israel","ISR","2021","100","86.8","70.8875","71.8833333333333","95","84.9141666666667","1","1","0.604","1","0.694","0.752833333333333","0.5555","0.775","0.833333333333333","1","1","0.042","1","0.95","1","1","1","1","1","1","1","0.867","0.852","0.357","0.517","0.426","0.604","1","0.714","0.7","0.8","0.4","0.8","0.75","0.667","0.875","0.7","0.875","0.6","0.8","0.778","0.8","0.75","0.333",,"0.5","1","1","1","1","1","1","1","1","0.042","1","1","1","1","0.5","1","1","1","1","1","1","1","High income","Middle East, North Africa, Afghanistan & Pakistan","1","9371400"
"Mongolia","MNG","2021","100","96.9","89.65","80.925","55","84.495","1","1","0.907","1","0.903333333333333","0.8865","0.8335","0.969","1","0.8","1","0.437","1","0.55","1","1","1","1","1","1","1","1","1","0.867","0.736","0.933","0.907","1","1","0.9","0.92","0.8","0.8","1","0.944","0.875","1","0.5","1","1","1","1","0.938","0.667",,"1","1","1","1","0.33","1","0.67","1","1","0.437","1","1","0","0.5","0.5","1","1","0.5","0","1","0","1","Upper middle income","East Asia & Pacific","1","3383741"
"Kyrgyz Republic","KGZ","2021","100","81.5666666666666","91.8375","68.0666666666667","80","84.2941666666667","1","1","0.447","1","0.936666666666667","0.9115","0.8335","0.969","0.666666666666667","0.734","1","0.322","1","0.8","1","1","1","1","1","1","1","0.531","0.483","0.369","0.4","0.45","0.447","1","1","0.9","0.92","1","0.8","1","0.944","0.875","0.9","0.75","1","1","1","1","0.938","0.667",,"0.5","0.5","1","1","0","1","1","0.67","1","0.322","1","0.5","1","1","0.5","1","1","0.5","0.5","1","1","1","Lower middle income","Europe & Central Asia","1","6851224"
"North Macedonia","MKD","2021","100","87.8666666666667","74.55","76.025","80","83.6883333333333","1","1","0.636","1","0.808166666666667","0.711166666666667","0.5","0.906","1","0.868","1","0.173","1","0.8","1","1","1","1","1","1","1","0.917","0.933","0.555","0.705","0.071","0.636","1","0.714","0.9","0.76","0.8","0.8","0.875","0.667","0.75","0.9","0.75","0.4","0.8","1","1","0.812","0",,"1","1","1","1","0.67","1","0.67","1","1","0.173","1","0.5","1","1","1","1","1","0.5","0","1","1","1","Upper middle income","Europe & Central Asia","1","1837114"
"Iceland","ISL","2021","80","86.5666666666667","76.30625","74.225","100","83.4195833333333","0.8","1","0.597","1","0.7745","0.786166666666667","0.6165","0.806","1","0.934","1","0.035","1","1","1","1","0","1","1","1","1","0.852","0.852","0.836","0.443","0","0.597","1","0.857","0.8","0.84","0.6","0.8","0.75","0.667","1","0.9","0.75","0.6","0.8","0.9","0.8","0.812","0.333",,"1","1","1","1","1","1","0.67","1","1","0.035","1","1","1","1","1","1","1","1","1","1","1","1","High income","Europe & Central Asia","1","372520"
"Colombia","COL","2021","80","85","92.3375","76.4","80","82.7475","0.8","1","0.55","1","0.913333333333333","1","0.778","0.869","1","0.866","1","0.19","1","0.8","0","1","0","1","1","1","1","0.8","0.312","0.283","0.686","0.669","0.55","1","1","0.8","0.88","1","0.8","1","1","1","1","1","1","1","0.889","0.8","0.938","0.667",,"1","1","1","1","1","1","0.33","1","1","0.19","1","1","0.5","1","0.5","1","1","1","0","1","1","0","Upper middle income","Latin America & Caribbean","1","51188173"
"Thailand","THA","2021","100","79.6","91.4625","67.3583333333333","75","82.6841666666667","1","1","0.388","1","0.939166666666667","0.932333333333333","0.8335","0.869","0.833333333333333","0.734","1","0.127","1","0.75","1","1","1","1","1","1","1","0.321","0.976","0.19","0.45","0","0.388","1","1","1","0.96","1","0.8","0.875","0.944","0.875","0.9","0.875","1","1","1","0.8","0.938","0.667",,"0.5","1","1","1","0","1","1","0.67","1","0.127","1","1","0","1","0.5","1","1","1","1","1","0","1","Upper middle income","East Asia & Pacific","1","71727332"
"Kazakhstan","KAZ","2021","100","88.3333333333333","89.3875","75.5083333333333","60","82.6458333333333","1","1","0.65","1","0.8325","0.928166666666667","1","0.869","0.833333333333333","0.666","1","0.521","1","0.6","1","1","1","1","1","1","1","0.917","0.886","0.507","0.483","0.46","0.65","1","1","0.6","0.92","1","0.6","0.875","0.944","0.75","1","0.875","1","1","1","0.8","0.938","1",,"1","0.5","1","1","0","1","0.33","1","1","0.521","1","0.5","1","1","0","0","1","0.5","0","1","1","1","Upper middle income","Europe & Central Asia","1","19743603"
"Romania","ROU","2021","80","91.0666666666666","76.53125","80.275","85","82.5745833333333","0.8","1","0.732","1","0.675","0.777833333333333","0.889","0.875","1","0.868","1","0.343","1","0.85","1","1","1","0","1","1","1","0.867","0.867","0.767","0.729","0.433","0.732","1","1","0.5","0.8","0.4","0.6","0.75","0.667","0.75","0.9","0.75","0.8","0.8","0.778","1","0.75","1",,"1","1","1","1","0.67","1","0.67","1","1","0.343","1","1","1","1","0.5","0","1","1","1","1","1","1","High income","Europe & Central Asia","1","19122059"
"Philippines","PHL","2021","100","93.7666666666667","89.80625","71.025","55","81.9195833333333","1","1","0.813","1","0.915833333333333","0.9115","0.8335","0.869","1","0.934","0.5","0.407","1","0.55","-99","1","1","1","1","1","1","0.967","0.976","0.524","0.598","1","0.813","1","1","0.9","0.92","1","0.8","0.875","0.944","0.875","0.9","0.75","1","1","1","0.8","0.938","0.667",,"1","1","1","1","1","1","0.67","1","0.5","0.407","1","1","0.5","0.5","0.5","1","1","0","0","1","0",,"Lower middle income","East Asia & Pacific","1","113100950"
"Malta","MLT","2021","100","83.0333333333333","65.56875","84.45","75","81.6104166666667","1","1","0.491","1","0.599833333333333","0.711166666666667","0.5","0.8125","1","0.934","1","0.444","1","0.75","-99","1","1","1","1","1","1","0.486","0.595","0.35","0.364","0.662","0.491","1","0.714","0.5","0.76","0.4","0.6","0.625","0.667","0.75","0.9","0.75","0.4","0.8","0.667","1","0.625","0.333",,"1","1","1","1","1","1","0.67","1","1","0.444","1","1","1","1","0.5","0","1","1","1","1","0",,"High income","Middle East, North Africa, Afghanistan & Pakistan","1","518150"
"Russian Federation","RUS","2021","83.4","85.8333333333333","76.49375","71.775","90","81.5004166666667","0.834","1","0.575","1","0.6845","0.757","0.889","0.906","1","0.6","1","0.271","1","0.9","1","1","1","0.67","0.5","1","1","0.645","0.736","0.46","0.621","0.414","0.575","1","0.857","0.5","0.8","0.6","0.6","0.75","0.667","0.625","0.9","0.75","0.8","0.8","0.778","1","0.812","1",,"1","1","1","1","0","1","0","1","1","0.271","1","1","1","1","0","1","1","1","1","1","1","1","High income","Europe & Central Asia","1","144746762"
"Brazil","BRA","2021","90","87","80.15625","78.9083333333333","70","81.2129166666667","0.9","1","0.61","1","0.839","0.849","0.611","0.7375","0.833333333333333","0.934","1","0.389","1","0.7","-99","1","1","1","1","0.5","1","0.926","0.96","0.54","0.605","0.017","0.61","1","0.714","0.8","0.92","1","0.6","1","0.944","0.875","0.8","0.875","0.6","1","0.889","0.6","0.875","0.333",,"0.5","1","1","1","1","1","0.67","1","1","0.389","1","1","1","1","0","0","1","1","1","1","0",,"Upper middle income","Latin America & Caribbean","1","209550294"
"Serbia","SRB","2021","100","72.8","86.0875","76.85","70","81.1475","1","0.5","0.684","1","0.89","0.815333333333333","0.8335","0.9375","1","0.732","1","0.342","1","0.7","1","1","1","1","1","1","0.5","0.75","0.871","0.719","0.645","0.436","0.684","1","1","0.9","0.84","0.8","0.8","1","0.667","0.875","1","0.75","0.8","0.8","1","1","0.875","0.667",,"1","1","1","1","0.33","1","0.33","1","1","0.342","1","1","1","1","0","1","1","0","0","1","1","1","Upper middle income","Europe & Central Asia","1","6834326"
"South Africa","ZAF","2021","80","86.5333333333333","87.58125","71.1","80","81.0429166666667","0.8","1","0.596","1","0.815666666666667","0.919","0.8335","0.969","1","0.666","1","0.178","1","0.8","0","0","1","1","1","1","1","0.405","0.838","0.436","0.495","0.805","0.596","1","0.714","0.9","0.88","0.8","0.6","1","0.889","0.875","1","0.75","1","1","1","1","0.938","0.667",,"1","1","1","1","1","1","0.33","0","1","0.178","1","1","0","0.5","1","1","1","0.5","1","1","1","0","Upper middle income","Sub-Saharan Africa","1","61502603"
"Uruguay","URY","2021","100","86.7","89.075","73.925","55","80.94","1","1","0.601","1","0.89","0.883333333333333","1","0.806","1","0.8","1","0.157","1","0.55","1","1","1","1","1","1","1","0.817","0.514","0.376","0.433","0.867","0.601","1","1","0.9","0.84","1","0.6","1","1","0.875","1","0.625","0.8","1","1","0.8","0.812","1",,"1","1","1","1","0","1","1","1","1","0.157","1","1","0.5","0.5","0","1","1","0.5","0","1","0","1","High income","Latin America & Caribbean","1","3396695"
"Turkiye","TUR","2021","50","85.5666666666667","94.1875","70.6583333333333","100","80.0825","0.5","1","0.567","1","0.845","1","1","1","0.833333333333333","0.866","1","0.127","1","1","1","1","0","1","0.5","0","1","0.869","0.148","0.426","0.571","0.821","0.567","1","1","0.8","0.92","0.6","1","0.75","1","1","1","1","1","1","1","1","1","1",,"1","0.5","1","1","0.33","1","1","1","1","0.127","1","1","1","1","1","1","1","1","1","1","1","1","Upper middle income","Europe & Central Asia","1","84147318"
"Ukraine","UKR","2021","100","55.1333333333333","87.0625","63.1","95","80.0591666666667","1","1","0.654","0","0.85","0.848666666666667","1","0.869","0.5","0.666","1","0.358","0","0.95","1","1","1","1","1","1","1","0.71","0.876","0.379","0.483","0.824","0.654","0","1","0.7","0.8","1","0.6","1","0.667","0.875","1","0.75","1","0.8","1","0.8","0.938","1",,"0.5","0","1","1","0","1","0.33","1","1","0.358","0","1","1","1","1","1","1","0.5","1","1","1","1","Upper middle income","Europe & Central Asia","1","44298640"
"Sri Lanka","LKA","2021","100","81.2333333333333","78.01875","83.775","55","79.6054166666667","1","1","0.437","1","0.698166666666667","0.848166666666667","0.8335","0.769","1","0.732","1","0.619","1","0.55","0","1","1","1","1","1","1","0.438","0.862","0.443","0.443","0","0.437","1","0.714","0.8","0.8","0.4","0.6","0.875","0.889","0.75","0.9","0.75","0.8","1","1","0.6","0.938","0.667",,"1","1","1","1","0.33","1","0.33","1","1","0.619","1","1","0","1","0.5","1","1","0","0","1","0","0","Lower middle income","South Asia","1","22156000"
"Indonesia","IDN","2021","100","91.7333333333333","90.2125","52","60","78.7891666666667","1","1","0.752","1","0.905833333333333","0.932333333333333","0.8335","0.869","1","0.734","0","0.346","1","0.6","0","1","1","1","1","1","1","0.736","0.952","0.702","0.452","0.919","0.752","1","1","1","0.76","1","0.8","0.875","0.944","0.875","0.9","0.875","1","1","1","0.8","0.938","0.667",,"1","1","1","1","0","1","0.67","1","0","0.346","1","1","0","1","0.5","0","1","0.5","1","1","0","0","Upper middle income","East Asia & Pacific","1","276758053"
"Ecuador","ECU","2021","100","89.8666666666666","89.8","53.2","60","78.5733333333333","1","1","0.696","1","0.93","0.882333333333333","0.778","0.969","0.5","0.866","0.5","0.262","0","0.6","1","1","1","1","1","1","1","0.983","0.862","0.405","0.517","0.712","0.696","1","1","0.9","0.88","1","0.8","1","0.944","0.875","0.8","0.875","0.8","1","0.889","1","0.938","0.667",,"0.5","0","1","1","1","1","0.33","1","0.5","0.262","0","1","0","1","0.5","1","1","0","0.5","1","0","1","Upper middle income","Latin America & Caribbean","1","17682454"
"Montenegro","MNE","2021","90","73.1","83.2125","64.7083333333333","80","78.2041666666667","0.9","0.5","0.693","1","0.875833333333333","0.827833333333333","0.8335","0.7125","0.833333333333333","0.734","1","0.021","-99","0.8","-99","1","1","1","0.5","1","0.5","0.717","0.9","0.414","0.676","0.757","0.693","1","1","0.9","0.88","0.8","0.8","0.875","0.667","0.875","1","0.625","1","0.8","1","0.8","0.625","0.667",,"1","0.5","1","1","0.33","1","0.67","0.67","1","0.021",,"1","1","1","1","1","1","0","0","1","1",,"Upper middle income","Europe & Central Asia","1","625053"
"West Bank and Gaza","PSE","2021","70","91.8","73.1125","69.4","85","77.8625","0.7","1","0.754","1","0.727333333333333","0.738","0.778","0.675","1","0.734","0.5","0.542","1","0.85","1","0.5","1","1","1","0","1","0.776","1","0.5","0.557","0.936","0.754","1","0.714","0.7","0.4","1","0.8","0.75","0.778","0.75","0.6","0.5","0.8","1","0.889","0.6","0.75","0.667",,"1","1","1","0.67","0.33","1","0.67","1","0.5","0.542","1","1","0.5","1","0.5","1","1","1","0.5","1","1","1","Lower middle income","Middle East, North Africa, Afghanistan & Pakistan","1","4922749"
"Argentina","ARG","2021","90","80.8","90.15625","67.6833333333333","60","77.7279166666667","0.9","1","0.424","1","0.915833333333333","0.904166666666667","0.7835","0.969","0.833333333333333","0.666","1","0.208","0","0.6","0","1","1","1","0.5","1","1","0.817","0.455","0.295","0.474","0.081","0.424","1","1","0.9","0.92","1","0.8","0.875","1","0.875","1","0.75","0.8","1","0.9","1","0.938","0.667",,"0.5","1","1","1","0.33","1","0.67","0.33","1","0.208","0","1","0","0.5","0.5","1","1","1","0","0","1","0","Upper middle income","Latin America & Caribbean","1","45312281"
"Senegal","SEN","2021","100","82.9666666666667","78.45625","50.875","75","77.4595833333333","1","1","0.489","1","0.857666666666667","0.778166666666667","0.5","0.869","1","0.866","0","0.169","1","0.75","0","1","1","1","1","1","1","0.064","0.933","0.221","0.467","0.757","0.489","1","0.571","0.9","0.8","1","1","0.875","0.944","0.875","0.7","0.75","0.6","0.8","1","0.8","0.938","0",,"1","1","1","1","1","1","1","0.33","0","0.169","1","1","0.5","0.5","0.5","1","1","1","1","1","0","0","Lower middle income","Sub-Saharan Africa","1","17220867"
"India","IND","2021","80","88.3333333333333","86.28125","77.525","55","77.4279166666667","0.8","1","0.65","1","0.852833333333333","0.932333333333333","0.778","0.769","1","0.734","1","0.367","1","0.55","0","0","1","1","1","1","1","0.826","0.95","0.467","0.581","0.426","0.65","1","0.857","0.9","0.76","1","0.6","1","0.944","0.875","0.9","0.875","1","1","0.889","0.6","0.938","0.667",,"1","1","1","0.33","0.67","1","0.67","1","1","0.367","1","1","0.5","0.5","0.5","1","1","0","1","0","0","0","Lower middle income","South Asia","1","1414203896"
"Jordan","JOR","2021","80","82.9","87.6","65.225","70","77.145","0.8","1","0.487","1","0.866166666666667","0.902333333333333","0.8335","0.869","1","0.868","0.5","0.241","1","0.7","0","0","1","1","1","1","1","0.545","0.95","0.457","0.483","0","0.487","1","0.857","0.7","0.84","1","0.8","1","0.889","0.875","0.9","0.75","1","1","1","0.8","0.938","0.667",,"1","1","1","0.67","1","1","0.67","1","0.5","0.241","1","1","0.5","1","0.5","1","1","0.5","0.5","1","0","0","Lower middle income","Middle East, North Africa, Afghanistan & Pakistan","1","11066356"
